stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
NOR1737i,NOR1737i,NORTH BEND RD 1737,W NORTH BEND RD & CARY AVE,39.203166,-84.551598,,,,,0
HAM5451i,HAM5451i,HAMILTON AVE 5451,HAMILTON AVE & CARY AVE,39.189493,-84.546329,,,,,0
LUDMIDi,LUDMIDi,LUDLOW AVE & MIDDLETON AVE,,39.143865,-84.522461,,,,,0
GOV8805,GOV8805,GOVERNORS HILL DR 8805,CHAPELSQUARE DR & GOVERNORS HILL DR,39.287477,-84.319591,,,,,0
DUK 911I,DUK 911I,DUKE BLVD 9111,,39.30378,-84.303181,,,,,0
DUK8890,DUK8890,DUKE BLVD 8990,,39.306937,-84.301583,,,,,0
DUK8858,DUK8858,DUKE BLVD 8858,,39.309313,-84.304083,,,,,0
ANTHEM,ANTHEM,ANTHEM,DUKE BLVD,39.309571,-84.303252,,,,,0
WESHOPo,WESHOPo,WESTERN ROW RD & HOPE CHURCH,,39.337183,-84.308295,,,,,0
WESLENSo,WESLENSo,WESTERN ROW RD & LENCRAFTERS LN,,39.336824,-84.297477,,,,,0
WESCINo,WESCINo,WESTERN ROW RD & CINTAS BLVD,,39.33633,-84.287256,,,,,0
FIE9430,FIE9430,FILEDS ERTEL ROW 9430,FIELDS ERTEL RD & ARBOR-MONTGOMERY LN,39.290965,-84.301191,,,,,0
WESCINi,WESCINi,WESTERN ROW RD & CINTAS BLVD,,39.336518,-84.287057,,,,,0
WESLENi,WESLENi,WESTERN ROW RD & LENCRAFTERS LN,,39.336948,-84.296329,,,,,0
WESHOPi,WESHOPi,WESTERN ROW RD & HOPE CHURCH,,39.337362,-84.308646,,,,,0
FIEWATo,FIEWATo,FIELDS ERTEL RD & WATERSTONE BLVD,FIELDS ERTEL RD & GOVERNORS HILL DR,39.292158,-84.306993,,,,,0
IRWMASi,IRWMASi,IRWIN SIMPSON RD & MASON MONTGOMERY,IRWIN-SIMPSON RD,39.309902,-84.312767,,,,,0
DUK8891i,DUK8891i,DUKE BLVD 8891,DUKE BLVD & SOCIALVILLE-FOSTER RD,39.306571,-84.301514,,,,,0
MASMERi,MASMERi,MASON MONTGOMERY RD & MERTEN DR,MASON-MONTGOMERY RD & SOCIALVILLE-FOSTER RD,39.29735,-84.315281,,,,,0
FIEROYi,FIEROYi,FIELDS ERTEL RD & ROYAL POINT DR,FIELDS ERTEL RD & KINGS AUTOMALL DR,39.292357,-84.310117,,,,,0
FIEWATi,FIEWATi,FIELDS ERTEL RD & WATERSTONE BLVD,FIELDS ERTEL RD & ROYAL POINT DR,39.292042,-84.30718,,,,,0
MON12095,MON12095,MONTGOMERY RD 12095,MONTGOMERY RD & ARBOR-MONTGOMERY LN,39.28902,-84.301838,,,,,0
MONHAPi,MONHAPi,MONTGOMERY RD & HARPERS POINT,MONTGOMERY RD & E KEMPER RD,39.270354,-84.329071,,,,,0
MON10981,MON10981,MONTGOMERY RD 10981,MONTGOMERY RD & RAMP,39.262891,-84.336474,,,,,0
BAL2225i,BAL2225i,BALTIMORE AVE 2225,2225 BALTIMORE AVE & WERON LN,39.146506,-84.563138,,,,,0
CEN12THi,CEN12THi,CENTRAL PKWY & 12TH STREET,CENTRAL PKWY & SHUTE ALY,39.107642,-84.519709,,,,,0
GLE2614o,GLE2614o,GLENWAY AVE 2614,GLENWAY AVE & MATSON PL,39.11062,-84.554753,,,,,0
RIV5640w,RIV5640w,RIVER RD 5640,RIVER RD & WOCHER AVE,39.094973,-84.651702,,,,,0
RIV5495w,RIV5495w,RIVER RD 5495,,39.097452,-84.657148,,,,,0
RIV5666w,RIV5666w,RIVER RD 5666,,39.098406,-84.662473,,,,,0
GRACISw,GRACISw,GRACELY DR & CIST ST,,39.104095,-84.683172,,,,,0
RIV4848w,RIV4848w,RIVER RD 4848,RIVER RD & WOCHER AVE,39.084021,-84.63817,,,,,0
RIV4934w,RIV4934w,RIVER RD 4934,RIVER RD & WOCHER AVE,39.084484,-84.638685,,,,,0
RIV5010w,RIV5010w,RIVER RD 5010,RIVER RD & STILLE DR,39.087183,-84.641656,,,,,0
RIV3304w,RIV3304w,RIVER RD 3304,RIVER RD & MCWILLIAMS ST,39.085807,-84.579402,,,,,0
THR7524i,THR7524i,THREE RIVERS PKWY 7524,THREE RIVERS PKWY & RIVER RD,39.134297,-84.708997,,,,,0
WWMPARKo,WWMPARKo,WESTERNWOODS MALL & PARKCREST LN,PARKCREST LN & JANLIN CT,39.148272,-84.620692,,,,,0
PARKFIEo,PARKFIEo,PARKCREST LN & FIELDCREST DR,,39.148441,-84.620587,,,,,0
BEE6531o,BEE6531o,BEECHMONT AVE 6531,BEECHMONT AVE & JANLIN CT,39.085422,-84.377285,,,,,0
BEE2351o,BEE2351o,BEECHMONT AVE 2351,BEECHMONT AVE & JANLIN CT,39.098471,-84.387276,,,,,0
BEE6775o,BEE6775o,BEECHMONT AVE 6775,BEECHMONT AVE & JANLIN CT,39.080736,-84.372377,,,,,0
